data	V1	V2	V3	V4	V5	V6	V7	V9	V10	V11	V12	V13	V14	V15	V16	V17	V21	V22	V23	V24	V25	V26	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V40	V46	V47	V66	V67	V69	V70	V71	V75	V76	V81	V82	V83	V84	V85	V86	V87	V88	V89	V93	V94	V95	V96	V97	V107	V112	V113	V114	V115	V116	V117	V118	V119	V120	V121
1T05	0.61	0.35	1.29	0.19	0.50	0.79	0.70	0.99	0.85	0.67	0.67	0.49	0.41	0.70	0.76	0.62	1.53	0.78	2240.14	2190.17	2215.47	19.56	1000.00	1000.00	1000.00	78276.44	42784832.00	76031.53	159708511.00	75776.04	503251.67	1027786.07	1145318.59	3.56	-68.10	-5.43	5909.04	9270.43	61960.00	1715.90	12363.70	2012678.10	144.95	279.31	88.20	76.50	89.00	71.60	92.20	86.70	78.60	89.20	211.94	199.22	10.20	2.52	5.15	149478.00	-9320.46	-74996.79	-3.73	30.49	25.57	4.92	992405.36	866603.82	125801.55	175468.70
2T05	-0.02	0.12	-0.16	-0.06	0.16	-0.20	-0.05	-0.45	-0.44	-0.41	0.76	0.42	0.36	0.34	0.30	0.49	1.59	0.78	2345.36	2312.56	2323.77	19.18	1033.65	1029.68	1035.56	78494.18	43504601.00	74561.86	159920729.00	75288.89	513644.03	1050018.49	1174288.14	3.30	71.60	-0.62	6172.85	10224.83	59885.00	1245.70	12144.90	2066440.60	132.74	317.50	89.50	83.40	89.90	74.60	93.70	87.60	79.40	90.30	213.77	199.94	10.48	3.34	5.48	148526.00	-7623.65	-82541.57	-3.99	29.86	25.78	4.08	992627.11	885240.99	107386.12	180881.80
3T05	0.35	0.16	0.92	-0.02	0.27	0.44	0.09	-0.13	-0.53	-0.69	0.24	0.29	0.30	0.30	0.39	0.51	1.50	0.78	2454.68	2412.12	2430.54	18.52	1058.26	1048.74	1064.95	80105.57	45680939.00	78288.95	162195289.00	78288.95	537869.65	1109859.42	1234582.85	3.60	108.30	12.62	6315.16	10654.22	57008.00	2313.60	12489.00	2114047.40	109.24	316.93	88.10	83.10	88.70	74.00	92.70	84.50	72.40	88.10	198.86	185.51	10.96	2.38	3.86	144472.00	-4964.75	-83229.44	-3.94	30.18	26.64	3.54	1007390.82	912441.52	94949.31	181538.90
4T05	0.36	0.38	0.53	0.23	0.36	0.29	0.46	0.07	-0.01	0.06	0.37	0.36	0.30	0.31	0.32	0.43	1.47	0.78	2568.65	2545.38	2553.00	16.87	1108.36	1101.86	1106.64	101247.24	58179315.00	87459.50	169322667.00	88565.82	580696.41	1166453.39	1298800.58	3.61	13.20	4.82	6566.02	10916.34	53799.00	501.80	13547.20	2170584.50	130.16	312.16	90.40	82.40	91.10	74.90	93.50	91.00	87.80	92.20	194.56	185.57	7.46	1.54	1.68	183687.00	6026.48	-81285.90	-3.74	30.60	28.45	2.16	1040046.12	972139.88	67906.24	198480.00
1T06	0.43	0.37	0.68	0.30	0.32	0.14	0.22	-0.45	-0.23	-0.03	0.20	0.25	0.53	0.23	0.29	0.45	1.42	0.72	2684.68	2686.02	2677.53	15.23	1193.86	1174.72	1251.57	88735.30	48628660.00	83489.83	167242327.00	82149.36	577567.49	1217947.58	1338582.92	4.04	594.50	-1.71	7706.32	11396.77	59824.00	1263.40	12455.60	2225144.40	137.75	309.43	90.80	86.00	91.10	74.50	93.50	90.70	81.60	93.30	212.79	199.77	9.89	3.13	4.51	156775.00	-7974.31	-73223.35	-3.29	30.83	29.93	0.90	1060502.67	1021197.19	39305.46	190223.30
2T06	-0.21	-0.15	0.06	-0.42	-0.26	-0.31	-0.40	0.67	0.75	0.57	0.90	0.04	-0.16	0.11	0.01	0.30	1.18	0.66	2781.37	2761.35	2765.74	14.66	1179.40	1184.64	1161.77	94634.88	50652361.00	83674.05	167620322.00	83593.60	599137.48	1251909.78	1374954.77	4.11	265.00	0.27	7365.29	11463.25	62670.00	561.50	11006.80	2271563.60	134.40	360.36	90.60	84.10	90.90	75.30	93.50	90.00	84.20	92.10	205.42	193.89	8.70	2.83	4.18	146954.00	-8773.48	-75458.80	-3.32	30.49	30.44	0.04	1066702.33	1045532.25	21170.10	199071.90
3T06	0.21	0.05	0.22	0.16	0.25	0.25	0.19	0.24	0.29	0.36	0.11	0.24	0.23	0.24	0.25	0.32	1.06	0.60	2889.85	2925.85	2894.72	13.58	1253.88	1244.23	1287.04	100371.55	56057682.00	88636.99	174233250.00	89541.54	610457.74	1292498.22	1430836.32	4.25	20.40	0.59	8108.86	12576.86	73393.00	2196.40	12783.50	2336552.20	131.36	359.46	90.20	87.20	91.00	75.70	93.30	89.50	79.20	92.20	188.60	177.73	8.91	1.96	3.80	159288.00	-2588.92	-75299.78	-3.22	30.50	31.50	-1.01	1088215.74	1092112.71	-3896.98	201055.40
4T06	0.48	0.35	0.83	0.40	0.25	1.04	0.63	0.26	0.32	0.47	0.36	0.31	0.35	0.57	0.55	0.38	0.99	0.55	2988.14	3086.34	3020.13	12.60	1353.15	1331.08	1420.17	121102.00	68810851.00	102776.22	187864030.00	108078.76	657427.29	1365957.85	1506072.05	4.16	105.80	6.06	7212.97	12264.83	85839.00	383.80	13029.90	2409449.90	127.50	354.23	93.20	88.70	93.40	83.00	95.90	92.60	86.90	94.50	177.69	168.81	7.66	1.22	2.71	204801.00	8493.10	-75915.39	-3.15	30.54	32.49	-1.95	1120052.63	1147868.30	-27815.66	221359.30
1T07	0.37	0.41	0.21	0.21	0.66	0.11	0.48	0.22	0.34	0.38	0.27	0.27	0.23	0.25	0.33	0.29	1.05	0.53	3080.03	3214.31	3128.82	12.14	1422.24	1383.93	1529.12	107235.70	58994611.00	98530.72	194873228.00	99404.16	646115.71	1403437.44	1568197.31	4.20	-595.80	4.35	9582.71	12888.96	109531.00	185.50	11623.20	2486603.30	127.87	349.49	94.90	91.00	95.40	85.40	97.90	92.90	89.20	93.60	234.95	220.28	11.15	3.53	4.98	193464.00	-6801.05	-84858.36	-3.41	30.41	34.25	-3.84	1139113.87	1215974.31	-76860.46	217588.90
2T07	0.28	0.29	-0.05	0.55	0.32	0.55	0.42	0.26	0.26	0.15	0.92	0.34	0.22	0.25	0.36	0.34	0.91	0.53	3177.36	3365.06	3248.41	11.17	1529.50	1453.42	1726.19	115604.13	61275981.00	102746.49	203955119.00	105868.55	673213.59	1468643.96	1648374.41	3.97	-224.50	4.06	9298.62	13118.08	147101.00	399.90	12564.40	2575281.90	129.77	376.31	97.10	91.40	97.20	90.80	98.10	96.80	93.20	98.30	232.86	217.88	11.71	3.27	5.75	198767.00	-8365.57	-87416.43	-3.39	30.09	36.47	-6.38	1153731.32	1300339.17	-146607.85	228988.60
